,code,latitude,longitude
71,904,40.4643652644244,-3.718042923843725
72,1004,40.39242757596381,-3.7575680988164057
73,1104,40.38479943971466,-3.744067751742965
74,1204,40.38368315921181,-3.6985849650154674
75,1304,40.38858387137802,-3.6430154468638074
76,1404,40.40970276532468,-3.659276766070708
77,1504,40.44142175529899,-3.6457967733806345
78,1604,40.47415634457842,-3.6529286349771692
79,1704,40.35612825922082,-3.6898896669827965
80,1904,40.40271917097583,-3.5525601965860245
81,2004,40.420364065737864,-3.617686805125
82,2104,40.474858969118266,-3.599818702232125
83,105,40.426312792643515,-3.7065280906969367
84,205,40.39716186694687,-3.693589729658086
85,305,40.41511238787497,-3.6931104859673556
86,405,40.43127672571055,-3.6763503740307812
87,505,40.464566146598294,-3.679224301310688
88,605,40.46728406545317,-3.703379003648677
89,705,40.4419631105296,-3.699996089835234
90,805,40.482790111014,-3.6970320272335697
91,905,40.47037672605159,-3.772302375819066
92,1005,40.38745720589087,-3.7872281859682864
93,1105,40.381207539061755,-3.7390648812545253
94,1205,40.389671255346,-3.7064145315238544
95,1305,40.391243060110334,-3.6474740266851087
96,1405,40.40118092934212,-3.6457780236718893
97,1505,40.44214162914674,-3.6549877507280795
98,1605,40.4782992564213,-3.6598388981994923
99,1705,40.35444079398081,-3.6986782824337556
100,2005,40.42897717390688,-3.6053237963624145
101,2105,40.46619716305368,-3.594338057669695
102,106,40.417358282954424,-3.704341824597096
103,206,40.404306563842404,-3.6980545855498588
104,306,40.41020193090547,-3.6759056819950287
105,406,40.435325321045816,-3.6856622138414807
106,506,40.47388738186147,-3.6787476965570134
107,606,40.4604725752162,-3.706071171216388
108,706,40.44251448622732,-3.711524234330558
109,806,40.49629017415993,-3.692631873642683
110,906,40.47260583962007,-3.8206576942208046
111,1006,40.36993860030066,-3.7698679288918604
112,1106,40.36756789267499,-3.7490701968642544
113,1206,40.38176639340845,-3.7150536343366856
114,1306,40.401315893412125,-3.6630677057713936
115,1406,40.4045824651557,-3.6433410331649765
116,1506,40.44944546662218,-3.660586667124921
117,1606,40.50038588610502,-3.6389149592379275
118,2006,40.44462006185294,-3.57704448520292
119,207,40.40245952652257,-3.6893512123991514
120,807,40.49040602600231,-3.7065472278227163
121,907,40.455544063592455,-3.7843653526623053
122,1007,40.382538990377725,-3.7701799057244814
123,1107,40.375465243904515,-3.7303119461686443
124,1207,40.378279664445046,-3.709140211508441
125,1507,40.45751828563705,-3.662131242764438
126,2007,40.44374285536618,-3.6130571442314263
127,808,40.55394238636458,-3.702937437281427
128,1508,40.46584182962132,-3.6654364490834572
129,2008,40.44440268075244,-3.6322083386070134
130,1509,40.47363501897358,-3.670442108388787
